objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag
ESO149-001,356.9529,-57.07261,8,SBd,1.53,3.388441338,13.53,90,1905,1912,26.10595303,21.75,1899,25.9284544,20.89296957,20.89296957,ESO149-001,356.9529,-57.07261,188.5777542,2.427005335,117.4117443,,0.004946982,2.26E-04,,0.010179266,2.90E-04,,,,,,,,,,,,,,,,,0.142246078,0.018246391,,0.134838507,0.035184922,,0.07595432,0.018986727,,0.058313893,0.002575929,,0.023068736,0.002367403,,0.015051802,0.00365064,,0.039769657,0.009963375,,0.037604516,0.001763587,n,0.02758772,0.001077386,n,,,,,,,,,,,,,,,,,,,,,,,,,0.916853217,0.169352569,,0.498450777,0.109404115,,0.221548342,0.060641092,
ESO471-006,355.9431,-31.95695,8.6,SBm,1.56,3.630780069,13.6,90,267,285,3.891316221,5.55,269,3.672856363,4.365161773,4.365161773,ESO471-006,355.9431,-31.95695,228.7991645,2.908192948,133.109261,,0.004207647,2.37E-04,,0.004968487,1.51E-04,,,,,,,,,,,,,,,,,0.007837863,0.019520795,,-0.001868118,0.034957452,,-1.07E-04,0.039796769,,0.010567257,0.002089184,,0.002293626,0.004774626,a,-0.009626248,0.007017537,,-0.016504619,0.013790299,,0.014383323,0.002281626,N,0.010160591,0.001989384,N,-0.001570333,0.00425442,N,0.004223465,0.001002123,N,-0.004622557,0.004349232,,,,,,,,,,,2.627177307,1.271683385,,-0.12858754,0.795497454,,0.167611256,0.183830239,,0.092212923,0.137180452,,0.037596708,0.077083576,
IC2233,123.4953,45.74251,6.5,SBc,1.46,2.884031756,12.45,90,540,733,10.00819224,13.44,585,7.987438558,13.99587028,13.99587028,IC2233,123.4953,45.74251,256.5354884,3.382878824,83.66310608,,0.006266642,2.95E-04,,0.007850369,2.20E-04,,0.015690128,0.00114262,,0.031875921,9.01E-04,,0.044180845,0.001842524,,0.065244558,0.003737671,,0.05230062,0.010349398,,0.068182533,0.017638168,,0.050408157,0.038982422,,0.06822331,0.024355429,,0.033164636,0.002537178,,0.021145286,0.003943845,,0.015758866,0.011360907,,0.010822262,0.01792255,,0.028313766,0.001212117,n,0.020640925,9.76E-04,n,0.014653886,0.001280359,n,0.020503607,0.001919152,n,0.038880906,0.003475428,,,,,,,,,,,2.121982684,0.374612015,,1.451352317,0.429711682,,0.918682745,0.384630179,,0.506063925,0.202170861,,0.263030511,0.135923475,
IC2574,157.10235,68.41319,8.9,SABm,2.11,12.88249241,10.83,83,57,238,3.249590388,3.54,46,0.628072092,3.999449676,3.999449676,IC2574,157.10235,68.41319,611.4667101,2.088067643,-32.91511848,,0.047627709,0.002150039,,0.05208392,0.001430483,,,,,,,,,,,,,,,,,0.104721335,0.039141755,,-0.529303984,0.216572385,A,-0.308971601,0.079181174,A,0.134458593,0.008896379,,0.075118728,0.010042658,,-0.036835085,0.047741832,,0.033469879,0.07260422,,0.176786471,0.009953943,n,0.097225915,0.010214127,n,0.125852003,0.022984229,n,-0.117618458,0.011310648,nA,0.162612184,0.055170454,,,,,,,,,,,8.339980279,1.791654647,,,,,3.209140241,1.325278865,,2.638863727,0.91038961,,1.872817099,0.41070742,
IC4213,198.0465,35.67015,5.8,Sc,1.4,2.511886294,13.9,86.5,815,1100,15.01911524,19.77,815,11.12779902,20.1372379,20.1372379,IC4213,198.0465,35.67015,189.794666,4.678486112,89.86616069,,0.001740171,7.97E-05,,0.002337004,7.08E-05,,0.005976806,8.37E-04,,0.013348211,2.03E-04,,0.019569272,5.56E-04,,0.024305459,6.49E-04,,0.028399103,0.001707584,,0.024038665,0.007852531,,0.043090503,0.029153113,,0.030138116,0.013896069,,0.014637546,7.06E-04,,0.009145076,9.75E-04,,0.017544334,0.002124434,,0.027922295,0.006330528,,0.014378809,4.88E-04,n,0.010297237,3.64E-04,n,,,,,,,,,,,,,,,,,,,,,,,,,1.039247625,0.122088449,,0.559380604,0.092233682,,0.284657471,0.060292577,
NGC0253,11.88795,-25.28844,5.1,SABc,2.43,26.91535218,7.93,90,243,251,3.427089022,3.24,246,3.358820317,3.698280433,3.698280433,NGC0253,11.88795,-25.28844,1739.198454,3.726710697,-39.61845472,,0.121443439,0.005468284,,0.191650316,0.005197465,,,,,,,,,,,,,,,,,20.58859508,0.479817747,,20.92214619,1.417995271,,20.6993721,0.699282821,,12.12578603,0.352107244,,8.029028513,0.27362573,,41.09530081,1.892703932,,106.0815523,5.943171632,,12.41806577,0.372742014,n,9.822848828,0.347212843,N,,,,,,,76.1263193,3.82010289,aN,,,,,,,1832.797048,128.8710428,N,2595.147891,182.8520141,N,2404.31333,169.538967,N,1033.26984,56.86040447,N,436.8187839,24.07483696,N,151.0121031,8.334260699,N
NGC0625,23.77125,-41.43676,9,SBm,1.82,6.606935278,11.64,90,396,325,4.437465866,3.75,389,5.311305298,3.999449676,3.999449676,NGC0625,23.77125,-41.43676,440.1995558,2.765851337,5.65075445,,0.01106938,5.65E-04,,0.016744727,5.04E-04,,,,,,,,,,,,,,,,,0.251853167,0.143134764,,0.248260438,0.446149293,,0.382083986,0.267562075,,0.134648189,0.006891476,,0.076307203,0.006692639,,0.226863238,0.021323202,,0.857196358,0.070524926,,0.133014156,0.006905171,N,0.086706978,0.004265644,N,0.070557744,0.006040483,N,0.153246928,0.00629788,N,0.899906485,0.045769664,N,6.921731493,0.935604693,N,8.789896443,-1.054787573,N,6.186964154,1.478419021,n,11.43360381,1.570450127,n,9.758785234,1.184826907,n,4.436248741,0.316190739,,2.413707286,0.21508084,,0.880409549,0.111685598,
NGC0678,27.35355,21.99728,3,SBb,1.49,3.0902955,13.35,90,2835,2766,37.76624795,27.87,2793,38.13489896,,27.87,NGC0678,27.35355,21.99728,240.3184161,3.116983101,-12.66630273,,5.44E-04,7.90E-04,,8.63E-04,1.63E-04,,0.004248485,0.005890089,,0.037589727,0.002041485,,0.085478712,0.003123089,,0.132932575,0.005210869,,0.179421512,0.007037414,,0.274943768,0.013678967,,0.309710685,0.068594111,,0.313783517,0.053874529,,0.135551984,0.004600999,,0.07429979,0.003616254,,0.082326707,0.009647506,,0.077002018,0.014070971,,0.128182097,0.004007139,N,0.081572135,0.002580434,N,,,,,,,,,,,,,,,,,,,1.223855665,0.287974411,n,3.233413256,0.337464978,n,2.164558665,0.303439768,,1.012796269,0.168511282,,0.293963453,0.09945685,
NGC0891,35.6397,42.34712,3.1,Sb,2.12,13.18256391,10.84,90,528,689,9.407427635,10.09,528,7.209175314,9.862793903,9.862793903,NGC0891,35.6397,42.34712,518.7706578,3.082542843,113.7741595,,0.005069875,6.22E-04,,0.015213303,0.003908185,,,,,,,,,,,,,,,,,1.932033709,0.30159545,,1.40766759,2.821988023,a,2.462096749,0.940162529,,1.90262053,0.057111571,,1.263410207,0.045827321,,5.343642372,0.26073224,,6.536164155,0.377125517,,1.909788932,0.05784379,n,1.348636019,0.040933527,,2.697474785,0.083033849,n,6.389147018,0.192618399,A,6.315033371,0.315982898,n,98.72036175,9.878847095,n,290.5462799,34.94802278,n,120.3313702,8.487597252,n,263.7629159,18.47869954,n,329.98941,23.11658247,n,167.2770633,9.206143323,,71.37556068,3.933646066,,25.30831079,1.397794811,
NGC1351A,52.20315,-35.17825,4.2,SBbc,1.4,2.511886294,13.8,82.1,1353,1276,17.42217368,22.01,1353,18.47351174,19.40886355,19.40886355,NGC1351A,52.20315,-35.17825,151.861068,1.988544489,43.11021498,,4.08E-04,4.66E-05,,6.11E-04,4.29E-05,,,,,,,,,,,,,,,,,0.052507734,0.016389654,,0.067243257,0.048106364,,0.049098919,0.023457119,,0.026883447,0.001455466,,0.015776589,0.001323194,,0.040545551,0.003036308,,0.037824934,0.006270343,,0.026819775,0.001719202,n,0.018797696,0.001075876,n,,,,,,,,,,,,,,,,,,,2.048023474,0.557042147,,2.084602973,0.536346085,,1.738749979,0.142601446,,0.963421873,0.098678849,,0.38765728,0.05044701,
