objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag
ESO149-001,356.9529,-57.07261,8.0,SBd,1.53,3.388441338,13.53,90.0,1905,1912,26.10595303,21.75,1899,25.9284544,20.89296957,20.89296957,ESO149-001,356.9529,-57.07261,188.57775416,2.42700533489,117.411744282,,0.00494698234394,2.25706632309E-4,,0.0101792661303,2.90136473582E-4,,,,,,,,,,,,,,,,,0.142246077652,0.0182463909137,,0.134838506891,0.035184921638,,0.0759543202537,0.0189867274761,,0.0583138934098,0.00257592895732,,0.0230687363093,0.0023674026141,,0.0150518018115,0.00365064020397,,0.0397696574254,0.00996337499265,,0.0376045156937,0.00176358650777,n,0.0275877203421,0.0010773857042,n,,,,,,,,,,,,,,,,,,,,,,,,,0.916853216725,0.169352569409,,0.498450776781,0.109404114886,,0.221548341594,0.0606410923709,
ESO471-006,355.9431,-31.95695,8.6,SBm,1.56,3.630780069,13.6,90.0,267,285,3.891316221,5.55,269,3.672856363,4.365161773,4.365161773,ESO471-006,355.9431,-31.95695,228.799164537,2.90819294848,133.109260991,,0.00420764656655,2.37191315112E-4,,0.00496848693503,1.50503756739E-4,,,,,,,,,,,,,,,,,0.0078378634445,0.0195207945928,,-0.00186811813473,0.0349574524812,,-1.06520699967E-4,0.0397967691424,,0.0105672567841,0.00208918438177,,0.00229362571903,0.00477462593176,a,-0.00962624765682,0.00701753659421,,-0.0165046194021,0.0137902986858,,0.0143833229047,0.00228162597069,N,0.0101605908021,0.00198938445144,N,-0.00157033271028,0.00425441963582,N,0.00422346489246,0.001002123236,N,-0.00462255661064,0.00434923217523,,,,,,,,,,,2.62717730657,1.27168338481,,-0.128587539695,0.795497453847,,0.167611256012,0.183830238674,,0.0922129229711,0.137180451765,,0.037596707709,0.0770835757283,
IC2233,123.4953,45.74251,6.5,SBc,1.46,2.884031756,12.45,90.0,540,733,10.00819224,13.44,585,7.987438558,13.99587028,13.99587028,IC2233,123.4953,45.74251,256.535488384,3.38287882357,83.6631060787,,0.00626664184421,2.94770948812E-4,,0.00785036860036,2.20213126687E-4,,0.0156901283208,0.00114261965105,,0.0318759207705,9.01451284304E-4,,0.0441808453679,0.00184252443841,,0.0652445580994,0.00373767096337,,0.0523006199538,0.0103493982616,,0.0681825327826,0.0176381679119,,0.0504081565125,0.038982422142,,0.0682233096439,0.024355428835,,0.0331646357718,0.00253717755592,,0.0211452864058,0.00394384511496,,0.0157588657436,0.011360907125,,0.0108222618395,0.0179225495705,,0.0283137660595,0.00121211697941,n,0.0206409247876,9.76009899216E-4,n,0.0146538855285,0.00128035907266,n,0.0205036074593,0.00191915181914,n,0.0388809057437,0.00347542764068,,,,,,,,,,,2.12198268359,0.374612015291,,1.4513523168,0.429711682226,,0.91868274478,0.384630178521,,0.506063925453,0.202170860675,,0.263030510862,0.135923475357,
IC2531,149.98125,-29.61755,5.0,Sc,1.82,6.606935278,12.9,90.0,2472,2520,34.40742764,34.28,2473,33.7657018,35.64507796,35.64507796,IC2531,149.98125,-29.61755,217.935065842,2.82764460019,-19.0295459165,,0.0015143790531,2.48006317587E-4,,0.00325972581693,3.86323077872E-4,,,,,,,,,,,,,,,,,0.247431901154,0.0245253082159,,0.304594061191,0.117723915728,,0.28794208283,0.035324184618,,0.158263326613,0.00620371800488,,0.0920109387291,0.00444672573531,,0.170743230451,0.0102855321239,,0.172874478084,0.0150653133751,,,,,,,,,,,,,,,,,,,,,,,,,,5.79735603715,0.559541359064,,11.1389441274,0.875660248147,,7.2562949561,0.478865701114,,3.80210546697,0.260270253052,,1.66476329756,0.141631240631,
IC2574,157.10235,68.41319,8.9,SABm,2.11,12.88249241,10.83,83.0,57,238,3.249590388,3.54,46,0.628072092,3.999449676,3.999449676,IC2574,157.10235,68.41319,611.466710076,2.08806764285,-32.9151184797,,0.0476277089243,0.00215003868229,,0.0520839197344,0.00143048292781,,,,,,,,,,,,,,,,,0.104721335253,0.0391417554083,,-0.529303983695,0.216572384796,A,-0.308971600554,0.0791811737199,A,0.134458592796,0.0088963792425,,0.0751187279988,0.010042658452,,-0.0368350854208,0.0477418315517,,0.0334698793598,0.0726042199277,,0.176786471131,0.00995394331756,n,0.0972259153542,0.0102141265038,n,0.125852002872,0.0229842287368,n,-0.11761845794,0.0113106478408,nA,0.162612183662,0.0551704539664,,,,,,,,,,,8.33998027909,1.79165464651,,,,,3.20914024058,1.32527886497,,2.63886372681,0.910389609913,,1.8728170992,0.410707420141,
IC4213,198.0465,35.67015,5.8,Sc,1.4,2.511886294,13.9,86.5,815,1100,15.01911524,19.77,815,11.12779902,20.1372379,20.1372379,IC4213,198.0465,35.67015,189.794666039,4.67848611233,89.8661606864,,0.00174017104329,7.96895233486E-5,,0.00233700427699,7.07725734839E-5,,0.00597680616066,8.36585367347E-4,,0.0133482113798,2.02627752023E-4,,0.0195692718552,5.56006898779E-4,,0.0243054593107,6.49331343428E-4,,0.0283991029077,0.00170758438438,,0.0240386651859,0.00785253060059,,0.0430905029189,0.0291531134868,,0.0301381160496,0.0138960690282,,0.0146375457949,7.05977823958E-4,,0.00914507616697,9.74749545643E-4,,0.0175443337789,0.00212443438328,,0.0279222952824,0.00633052831129,,0.0143788091859,4.87755496374E-4,n,0.0102972369143,3.6446178934E-4,n,,,,,,,,,,,,,,,,,,,,,,,,,1.03924762498,0.122088449227,,0.559380603816,0.0922336823204,,0.284657471031,0.0602925765645,
NGC0253,11.88795,-25.28844,5.1,SABc,2.43,26.91535218,7.93,90.0,243,251,3.427089022,3.24,246,3.358820317,3.698280433,3.698280433,NGC0253,11.88795,-25.28844,1739.19845363,3.72671069654,-39.6184547179,,0.121443438595,0.00546828433069,,0.191650316292,0.00519746531212,,,,,,,,,,,,,,,,,20.5885950789,0.479817746944,,20.922146185,1.41799527143,,20.6993720989,0.699282821293,,12.1257860318,0.352107244104,,8.0290285134,0.273625729873,,41.0953008065,1.89270393207,,106.081552333,5.94317163228,,12.418065766,0.372742014402,n,9.82284882752,0.347212842548,N,,,,,,,76.1263193008,3.82010289022,aN,,,,,,,1832.79704758,128.871042782,N,2595.14789109,182.852014091,N,2404.31333016,169.538967028,N,1033.26983965,56.8604044722,N,436.818783901,24.0748369642,N,151.012103119,8.33426069941,N
NGC0625,23.77125,-41.43676,9.0,SBm,1.82,6.606935278,11.64,90.0,396,325,4.437465866,3.75,389,5.311305298,3.999449676,3.999449676,NGC0625,23.77125,-41.43676,440.199555752,2.7658513367,5.65075445014,,0.0110693799613,5.64991026559E-4,,0.016744727291,5.0363374623E-4,,,,,,,,,,,,,,,,,0.251853166666,0.143134764384,,0.248260437921,0.446149292823,,0.38208398632,0.267562074575,,0.134648188563,0.00689147566465,,0.0763072033676,0.00669263939231,,0.22686323772,0.0213232020169,,0.857196358078,0.0705249260641,,0.133014155847,0.00690517125634,N,0.0867069781731,0.00426564443326,N,0.0705577441559,0.00604048332684,N,0.153246928472,0.00629788023292,N,0.899906484573,0.0457696639604,N,6.92173149322,0.935604692627,N,8.78989644311,-1.05478757317,N,6.18696415357,1.47841902112,n,11.4336038106,1.57045012658,n,9.7587852343,1.18482690692,n,4.43624874107,0.316190738997,,2.41370728604,0.215080839551,,0.880409549426,0.11168559754,
NGC0678,27.35355,21.99728,3.0,SBb,1.49,3.0902955,13.35,90.0,2835,2766,37.76624795,27.87,2793,38.13489896,,27.87,NGC0678,27.35355,21.99728,240.318416094,3.11698310073,-12.6663027285,,5.43844414589E-4,7.90122171219E-4,,8.6255353295E-4,1.6282678954E-4,,0.00424848474468,0.0058900892647,,0.0375897273751,0.00204148472419,,0.0854787118158,0.00312308885388,,0.132932575133,0.00521086947764,,0.17942151173,0.00703741444436,,0.274943768071,0.0136789669693,,0.309710684542,0.0685941114232,,0.313783516712,0.053874529355,,0.135551984253,0.00460099888665,,0.0742997903538,0.00361625415603,,0.0823267066181,0.00964750554173,,0.0770020179425,0.0140709708121,,0.128182096679,0.00400713911717,N,0.0815721352423,0.00258043361763,N,,,,,,,,,,,,,,,,,,,1.22385566471,0.28797441062,n,3.23341325582,0.337464977875,n,2.16455866535,0.303439767742,,1.01279626869,0.168511282444,,0.293963453485,0.0994568502838,
NGC0891,35.6397,42.34712,3.1,Sb,2.12,13.18256391,10.84,90.0,528,689,9.407427635,10.09,528,7.209175314,9.862793903,9.862793903,NGC0891,35.6397,42.34712,518.770657784,3.082542843,113.774159494,,0.00506987536265,6.21948888129E-4,,0.0152133033896,0.00390818528093,,,,,,,,,,,,,,,,,1.93203370924,0.301595449928,,1.40766759012,2.8219880232,a,2.46209674892,0.940162529436,,1.90262052996,0.0571115713173,,1.26341020724,0.0458273209188,,5.34364237171,0.260732240254,,6.53616415523,0.377125516955,,1.90978893229,0.0578437903734,n,1.34863601942,0.0409335269779,,2.69747478505,0.0830338486147,n,6.38914701804,0.19261839938,A,6.31503337081,0.315982897797,n,98.7203617469,9.87884709531,n,290.546279932,34.9480227809,n,120.331370153,8.48759725226,n,263.762915877,18.4786995432,n,329.989410017,23.1165824724,n,167.277063302,9.2061433226,,71.3755606818,3.93364606572,,25.3083107896,1.3977948108,
